std,peak,rms,p2p,zcr,speed,label
0.327794,4.805519,0.327998,2.278750,41,0.24706,gravel
0.326943,4.781517,0.329645,2.450745,37,0.24706,gravel
0.274229,3.669485,0.274723,1.743719,41,0.24706,gravel
0.252372,3.991424,0.252564,1.604861,42,0.24706,gravel
0.979314,9.569025,0.983008,10.770949,51,0.24706,gravel
1.049207,8.947910,1.051243,12.818759,43,0.24706,gravel
0.456131,7.480219,0.456180,4.393777,40,0.24706,gravel
0.468457,7.125358,0.470366,4.203222,52,0.28824,gravel
0.419746,7.957786,0.421163,4.540793,53,0.28824,gravel
0.285087,4.163324,0.285654,2.252334,60,0.28824,gravel
0.436270,3.773066,0.436899,3.280050,52,0.28824,gravel
0.988704,8.875792,0.990962,10.444019,44,0.28824,gravel
0.997580,8.791040,1.000515,11.672636,55,0.28824,gravel
0.552792,5.201462,0.553127,4.638138,57,0.28824,gravel
0.407190,6.116066,0.408306,3.309232,53,0.28824,gravel
0.306040,3.067160,0.306526,1.676544,51,0.28824,gravel
0.377305,4.438400,0.377312,2.546158,44,0.28824,gravel
0.360776,4.641448,0.360806,2.546158,49,0.28824,gravel
0.695545,8.722218,0.701162,7.289646,52,0.28824,gravel
0.837658,7.186297,0.851021,7.351707,47,0.28824,gravel
0.678637,5.391399,0.683800,4.922656,40,0.28824,gravel
0.519461,7.094542,0.519644,5.630555,47,0.28824,gravel
0.370314,5.243630,0.370720,3.663571,55,0.28824,gravel
0.286585,3.497134,0.286831,1.999181,56,0.28824,gravel
0.607330,5.678435,0.608027,5.723789,46,0.33971,gravel
0.460766,4.929057,0.460767,4.130037,43,0.33971,gravel
0.516159,4.346946,0.516310,4.103264,45,0.33971,gravel
0.541509,4.255754,0.545654,3.573442,51,0.33971,gravel
0.905497,7.159655,0.906708,10.621625,55,0.33971,gravel
1.044156,6.193673,1.048121,10.621625,56,0.33971,gravel
0.737777,4.674621,0.740002,6.300129,52,0.33971,gravel
0.583013,4.844245,0.586448,4.923557,47,0.33971,gravel
0.554506,4.607537,0.555291,4.641179,45,0.33971,gravel
0.588816,7.753344,0.591711,5.934588,42,0.33971,gravel
1.293581,8.101673,1.293683,15.068733,37,0.33971,gravel
1.214284,8.597818,1.219029,13.554111,39,0.33971,gravel
0.481245,5.693573,0.483888,4.258401,49,0.33971,gravel
0.612191,4.500140,0.612214,4.921692,56,0.33971,gravel
0.731686,6.488082,0.733276,6.924193,47,0.33971,gravel
0.637005,7.445810,0.638957,6.228597,41,0.33971,gravel
0.443804,2.858125,0.448122,2.409199,43,0.33971,gravel
